Latitude:	51°28'36" North, 
Longitude:	0°0'1" West

Results for: 	June

Inclination of plane:	 0	 deg.
Orientation (azimuth) of plane:	 0	 deg.
Time		G		Gd		DNI
04:07		30		29		31
04:22		48		44		52
04:37		67		59		76
04:52		88		74		102
05:07		111		88		127
05:22		134		102		150
05:37		159		116		172
05:52		184		129		191
06:07		209		141		209
06:22		234		152		226
06:37		260		163		241
06:52		285		173		255
07:07		309		183		267
07:22		333		191		279
07:37		356		199		289
07:52		378		206		299
08:07		400		212		308
08:22		420		218		316
08:37		439		223		323
08:52		457		227		330
09:07		474		230		335
09:22		489		234		341
09:37		503		236		345
09:52		516		238		350
10:07		527		240		353
10:22		537		241		356
10:37		545		242		359
10:52		552		243		361
11:07		558		244		363
11:22		562		244		364
11:37		565		245		365
11:52		566		245		366
12:07		566		245		366
12:22		565		245		365
12:37		562		244		364
12:52		558		244		363
13:07		552		243		361
13:22		545		242		359
13:37		537		241		356
13:52		527		240		353
14:07		516		238		350
14:22		503		236		345
14:37		489		234		341
14:52		474		230		335
15:07		457		227		330
15:22		439		223		323
15:37		420		218		316
15:52		400		212		308
16:07		378		206		299
16:22		356		199		289
16:37		333		191		279
16:52		309		183		267
17:07		285		173		255
17:22		260		163		241
17:37		234		152		226
17:52		209		141		209
18:07		184		129		191
18:22		159		116		172
18:37		134		102		150
18:52		111		88		127
19:07		88		74		102
19:22		67		59		76
19:37		48		44		52
19:52		30		29		31
20:07		14		14		16

G: Global irradiance on a fixed plane  (W/m2)
Gd: Diffuse irradiance on a fixed plane  (W/m2)
DNI: Direct normal irradiance   (W/m2)

PVGIS (c) European Communities, 2001-2012
