Time of the Day	/ Constant Load / Business Load / Residential Load		
00:00	0	0	0.76
00:15	0	0	0.76
00:30	0	0	0.76
00:45	0	0	0.76
01:00	0	0	0.62
01:15	0	0	0.62
01:30	0	0	0.62
01:45	0	0	0.62
02:00	0	0	0.49
02:15	0	0	0.49
02:30	0	0	0.49
02:45	0	0	0.49
03:00	0	0	0.38
03:15	0	0	0.38
03:30	0	0	0.38
03:45	0	0	0.38
04:00	0	0	0.33
04:15	0	0	0.33
04:30	0	0	0.33
04:45	0	0	0.33
05:00	0	0	0.36
05:15	0	0	0.36
05:30	0	0	0.36
05:45	0	0	0.36
06:00	0	0	0.4
06:15	0	0	0.4
06:30	0	0	0.4
06:45	0	0	0.4
07:00	0	0.1136	0.51
07:15	0	0.1136	0.51
07:30	0	0.1136	0.51
07:45	0	0.1136	0.51
08:00	0	0.2273	0.6
08:15	0	0.2273	0.6
08:30	0	0.2273	0.6
08:45	0	0.2273	0.6
09:00	0	0.8636	0.13
09:15	0	0.8636	0.13
09:30	0	0.8636	0.13
09:45	0	0.8636	0.13
10:00	0	0.8863	0.13
10:15	0	0.8863	0.13
10:30	0	0.8863	0.13
10:45	0	0.8863	0.13
11:00	0	0.9091	0.13
11:15	0	0.9091	0.13
11:30	0	0.9091	0.13
11:45	0	0.9091	0.13
12:00	0	0.7727	0.22
12:15	0	0.7727	0.22
12:30	0	0.7727	0.22
12:45	0	0.7727	0.22
13:00	0	0.9205	0.13
13:15	0	0.9205	0.13
13:30	0	0.9205	0.13
13:45	0	0.9205	0.13
14:00	0	0.9432	0.13
14:15	0	0.9432	0.13
14:30	0	0.9432	0.13
14:45	0	0.9432	0.13
15:00	0	0.9659	0.13
15:15	0	0.9659	0.13
15:30	0	0.9659	0.13
15:45	0	0.9659	0.13
16:00	0	1	0.13
16:15	0	1	0.13
16:30	0	1	0.13
16:45	0	1	0.13
17:00	0	1	0.13
17:15	0	1	0.13
17:30	0	1	0.13
17:45	0	1	0.13
18:00	0	0.8409	0.24
18:15	0	0.8409	0.24
18:30	0	0.8409	0.24
18:45	0	0.8409	0.24
19:00	0	0.6023	0.47
19:15	0	0.6023	0.47
19:30	0	0.6023	0.47
19:45	0	0.6023	0.47
20:00	0	0.1705	0.82
20:15	0	0.1705	0.82
20:30	0	0.1705	0.82
20:45	0	0.1705	0.82
21:00	0	0.0455	0.98
21:15	0	0.0455	0.98
21:30	0	0.0455	0.98
21:45	0	0.0455	0.98
22:00	0	0.0341	1
22:15	0	0.0341	1
22:30	0	0.0341	1
22:45	0	0.0341	1
23:00	0	0.0227	0.82
23:15	0	0.0227	0.82
23:30	0	0.0227	0.82
23:45	0	0.0227	0.82
